model,acc_percent,auc_percent,f1_percent,sensitivity_percent,specificity_percent
CHM-Net,67.75 +/- 2.46,69.69 +/- 1.19,66.47 +/- 4.19,64.74 +/- 6.80,70.64 +/- 2.95
ResNet-50+2.5D,49.19 +/- 0.70,68.01 +/- 4.80,34.44 +/- 3.20,57.78 +/- 52.90,42.11 +/- 53.00
ResNet-50+3D,55.69 +/- 6.30,69.06 +/- 4.80,45.31 +/- 13.60,80.00 +/- 29.80,30.58 +/- 42.10
ResNet-50+ACS,54.08 +/- 5.30,64.75 +/- 3.80,44.81 +/- 11.20,53.04 +/- 43.40,55.96 +/- 46.40
auto-sklearn,52.96 +/- 6.02,57.23 +/- 7.05,49.38 +/- 10.67,38.30 +/- 22.06,67.49 +/- 20.50
X3D,48.06 +/- 3.75,51.19 +/- 7.98,48.08 +/- 19.35,58.89 +/- 39.21,36.43 +/- 34.54
AMSNet,49.74 +/- 3.31,52.96 +/- 9.05,49.00 +/- 19.91,59.88 +/- 37.75,40.47 +/- 39.21
M3T,49.73 +/- 1.13,50.21 +/- 9.29,39.76 +/- 36.30,60.00 +/- 54.77,40.00 +/- 54.77
3DCT-ICH,50.81 +/- 3.39,49.90 +/- 8.74,36.77 +/- 33.95,49.47 +/- 50.01,53.33 +/- 50.55
XFMamba,53.00 +/- 1.12,57.44 +/- 2.27,55.45 +/- 8.53,61.40 +/- 17.37,44.27 +/- 17.76
SwinTransformer-3D,50.81 +/- 0.74,54.99 +/- 7.52,13.57 +/- 30.35,20.00 +/- 44.72,80.00 +/- 44.72
Med3D,49.16 +/- 3.41,53.67 +/- 7.24,24.22 +/- 28.22,27.78 +/- 41.94,71.29 +/- 37.53
MedVit-3D,49.20 +/- 6.53,44.92 +/- 8.31,38.85 +/- 26.33,45.56 +/- 39.17,52.51 +/- 43.91
